image,imprint
D:\CURE_crops\.\102/bottom/Customer/102_bottom_4525.png,
D:\CURE_crops\.\102/bottom/Customer/102_bottom_4526.png,
D:\CURE_crops\.\102/bottom/Customer/102_bottom_4527.png,T
D:\CURE_crops\.\102/bottom/Customer/102_bottom_4528.png,
D:\CURE_crops\.\102/top/Customer/102_top_4493.png,
D:\CURE_crops\.\102/top/Customer/102_top_4498.png,CV3
D:\CURE_crops\.\103/bottom/Customer/103_bottom_4559.png,T
D:\CURE_crops\.\103/bottom/Customer/103_bottom_4564.png,T
D:\CURE_crops\.\103/bottom/Customer/103_bottom_4565.png,T
D:\CURE_crops\.\103/bottom/Customer/103_bottom_4566.png,RED
D:\CURE_crops\.\103/bottom/Customer/103_bottom_4569.png,T
D:\CURE_crops\.\103/top/Customer/103_top_4531.png,AST 100
D:\CURE_crops\.\103/top/Customer/103_top_4550.png,T
D:\CURE_crops\.\104/bottom/Customer/104_bottom_4595.png,T
D:\CURE_crops\.\104/bottom/Customer/104_bottom_4602.png,A
D:\CURE_crops\.\104/bottom/Customer/104_bottom_4603.png,TAP
D:\CURE_crops\.\104/bottom/Customer/104_bottom_4604.png,
D:\CURE_crops\.\104/bottom/Customer/104_bottom_4614.png,C
D:\CURE_crops\.\104/top/Customer/104_top_4573.png,93 H
D:\CURE_crops\.\104/top/Customer/104_top_4576.png,T
D:\CURE_crops\.\104/top/Customer/104_top_4581.png,T
D:\CURE_crops\.\104/top/Customer/104_top_4585.png,H OD
D:\CURE_crops\.\105/bottom/Customer/105_bottom_4637.png,TAP
D:\CURE_crops\.\105/bottom/Customer/105_bottom_4640.png,B
D:\CURE_crops\.\105/bottom/Customer/105_bottom_4650.png,M
D:\CURE_crops\.\105/bottom/Customer/105_bottom_4652.png,J
D:\CURE_crops\.\105/top/Customer/105_top_4621.png,TCL
D:\CURE_crops\.\105/top/Customer/105_top_4627.png,RIS 10
D:\CURE_crops\.\105/top/Customer/105_top_4631.png,T
D:\CURE_crops\.\106/bottom/Customer/106_bottom_4684.png,
D:\CURE_crops\.\106/bottom/Customer/106_bottom_4686.png,T
D:\CURE_crops\.\106/bottom/Customer/106_bottom_4688.png,T
D:\CURE_crops\.\106/bottom/Customer/106_bottom_4692.png,T
D:\CURE_crops\.\106/bottom/Customer/106_bottom_4695.png,T
D:\CURE_crops\.\106/top/Customer/106_top_4659.png,D W XZC
D:\CURE_crops\.\106/top/Customer/106_top_4665.png,D W XZC
D:\CURE_crops\.\106/top/Customer/106_top_4675.png,D W XZC
D:\CURE_crops\.\107/bottom/Customer/107_bottom_4719.png,I 5
D:\CURE_crops\.\107/bottom/Customer/107_bottom_4725.png,B
D:\CURE_crops\.\107/bottom/Customer/107_bottom_4728.png,E
D:\CURE_crops\.\107/bottom/Customer/107_bottom_4732.png,E 11
D:\CURE_crops\.\107/bottom/Customer/107_bottom_4733.png,
D:\CURE_crops\.\107/top/Customer/107_top_4705.png,H
D:\CURE_crops\.\107/top/Customer/107_top_4706.png,H
D:\CURE_crops\.\107/top/Customer/107_top_4715.png,H
D:\CURE_crops\.\108/bottom/Customer/108_bottom_4761.png,T
D:\CURE_crops\.\108/bottom/Customer/108_bottom_4764.png,W
D:\CURE_crops\.\108/bottom/Customer/108_bottom_4775.png,
D:\CURE_crops\.\108/top/Customer/108_top_4739.png,KP 305
D:\CURE_crops\.\108/top/Customer/108_top_4744.png,KP 306
D:\CURE_crops\.\108/top/Customer/108_top_4747.png,KP 305
D:\CURE_crops\.\108/top/Customer/108_top_4752.png,T
D:\CURE_crops\.\109/bottom/Customer/109_bottom_4802.png,S
D:\CURE_crops\.\109/bottom/Customer/109_bottom_4810.png,N
D:\CURE_crops\.\109/bottom/Customer/109_bottom_4814.png,5
D:\CURE_crops\.\109/bottom/Customer/109_bottom_4818.png,T 10
D:\CURE_crops\.\109/top/Customer/109_top_4778.png,C
D:\CURE_crops\.\109/top/Customer/109_top_4786.png,D
D:\CURE_crops\.\109/top/Customer/109_top_4787.png,D
D:\CURE_crops\.\109/top/Customer/109_top_4793.png,V
D:\CURE_crops\.\11/bottom/Customer/11_bottom_505.png,T
D:\CURE_crops\.\11/bottom/Customer/11_bottom_506.png,T
D:\CURE_crops\.\11/bottom/Customer/11_bottom_508.png,
D:\CURE_crops\.\11/bottom/Customer/11_bottom_513.png,T
D:\CURE_crops\.\11/bottom/Customer/11_bottom_514.png,T
D:\CURE_crops\.\11/top/Customer/11_top_476.png,G37
D:\CURE_crops\.\11/top/Customer/11_top_479.png,GAT
D:\CURE_crops\.\11/top/Customer/11_top_483.png,GAT
D:\CURE_crops\.\11/top/Customer/11_top_489.png,G341
D:\CURE_crops\.\110/bottom/Customer/110_bottom_4847.png,T
D:\CURE_crops\.\110/bottom/Customer/110_bottom_4849.png,T
D:\CURE_crops\.\110/bottom/Customer/110_bottom_4851.png,T
D:\CURE_crops\.\110/bottom/Customer/110_bottom_4853.png,T
D:\CURE_crops\.\110/bottom/Customer/110_bottom_4854.png,T
D:\CURE_crops\.\110/bottom/Customer/110_bottom_4861.png,T
D:\CURE_crops\.\110/bottom/Customer/110_bottom_4864.png,T
D:\CURE_crops\.\110/top/Customer/110_top_4825.png,LV 20
D:\CURE_crops\.\110/top/Customer/110_top_4829.png,20 17
D:\CURE_crops\.\111/bottom/Customer/111_bottom_4890.png,W
D:\CURE_crops\.\111/bottom/Customer/111_bottom_4895.png,T
D:\CURE_crops\.\111/bottom/Customer/111_bottom_4896.png,T
D:\CURE_crops\.\111/top/Customer/111_top_4873.png,F N FMT
D:\CURE_crops\.\111/top/Customer/111_top_4875.png,T
D:\CURE_crops\.\111/top/Customer/111_top_4876.png,T
D:\CURE_crops\.\111/top/Customer/111_top_4884.png,T
D:\CURE_crops\.\111/top/Customer/111_top_4885.png,HN FMT
D:\CURE_crops\.\111/top/Customer/111_top_4888.png,T
D:\CURE_crops\.\112/bottom/Customer/112_bottom_4948.png,T
D:\CURE_crops\.\112/bottom/Customer/112_bottom_4949.png,T
D:\CURE_crops\.\112/top/Customer/112_top_4917.png,DA DGC
D:\CURE_crops\.\112/top/Customer/112_top_4922.png,T
D:\CURE_crops\.\112/top/Customer/112_top_4924.png,DA DGC
D:\CURE_crops\.\112/top/Customer/112_top_4927.png,DA DGC
D:\CURE_crops\.\112/top/Customer/112_top_4928.png,T
D:\CURE_crops\.\112/top/Customer/112_top_4932.png,DA DGC
D:\CURE_crops\.\113/bottom/Customer/113_bottom_4980.png,T
D:\CURE_crops\.\113/bottom/Customer/113_bottom_4987.png,
D:\CURE_crops\.\113/bottom/Customer/113_bottom_4990.png,
D:\CURE_crops\.\113/bottom/Customer/113_bottom_4995.png,
D:\CURE_crops\.\113/top/Customer/113_top_4962.png,47
D:\CURE_crops\.\113/top/Customer/113_top_4965.png,V 3
D:\CURE_crops\.\113/top/Customer/113_top_4969.png,HR
D:\CURE_crops\.\113/top/Customer/113_top_4974.png,HA
D:\CURE_crops\.\114/bottom/Customer/114_bottom_5024.png,10
D:\CURE_crops\.\114/bottom/Customer/114_bottom_5029.png,T
D:\CURE_crops\.\114/top/Customer/114_top_4997.png,NCB
D:\CURE_crops\.\114/top/Customer/114_top_5007.png,H
D:\CURE_crops\.\114/top/Customer/114_top_5008.png,T
D:\CURE_crops\.\114/top/Customer/114_top_5009.png,TCLB
D:\CURE_crops\.\114/top/Customer/114_top_5011.png,WAT
D:\CURE_crops\.\114/top/Customer/114_top_5013.png,LILLY
D:\CURE_crops\.\115/bottom/Customer/115_bottom_5058.png,
D:\CURE_crops\.\115/bottom/Customer/115_bottom_5063.png,
D:\CURE_crops\.\115/bottom/Customer/115_bottom_5065.png,
D:\CURE_crops\.\115/bottom/Customer/115_bottom_5066.png,
D:\CURE_crops\.\115/top/Customer/115_top_5043.png,IS10
D:\CURE_crops\.\115/top/Customer/115_top_5047.png,T
D:\CURE_crops\.\115/top/Customer/115_top_5051.png,TIS 10
D:\CURE_crops\.\115/top/Customer/115_top_5055.png,GSI
D:\CURE_crops\.\116/bottom/Customer/116_bottom_5099.png,B
D:\CURE_crops\.\116/bottom/Customer/116_bottom_5112.png,B
D:\CURE_crops\.\116/top/Customer/116_top_5081.png,25MG PU
D:\CURE_crops\.\116/top/Customer/116_top_5084.png,PU 25MG
D:\CURE_crops\.\116/top/Customer/116_top_5085.png,PU 25MG
D:\CURE_crops\.\116/top/Customer/116_top_5090.png,B
D:\CURE_crops\.\116/top/Customer/116_top_5094.png,T
D:\CURE_crops\.\116/top/Customer/116_top_5096.png,T
D:\CURE_crops\.\117/bottom/Customer/117_bottom_5146.png,T4
D:\CURE_crops\.\117/bottom/Customer/117_bottom_5153.png,T
D:\CURE_crops\.\117/top/Customer/117_top_5118.png,3750
D:\CURE_crops\.\117/top/Customer/117_top_5125.png,W
D:\CURE_crops\.\117/top/Customer/117_top_5133.png,TAP
D:\CURE_crops\.\117/top/Customer/117_top_5134.png,LINE
D:\CURE_crops\.\117/top/Customer/117_top_5135.png,RED
D:\CURE_crops\.\118/bottom/Customer/118_bottom_5174.png,T
D:\CURE_crops\.\118/bottom/Customer/118_bottom_5176.png,T
D:\CURE_crops\.\118/bottom/Customer/118_bottom_5178.png,T
D:\CURE_crops\.\118/bottom/Customer/118_bottom_5186.png,T
D:\CURE_crops\.\118/top/Customer/118_top_5167.png,G D
D:\CURE_crops\.\118/top/Customer/118_top_5168.png,T
D:\CURE_crops\.\118/top/Customer/118_top_5173.png,T
D:\CURE_crops\.\119/bottom/Customer/119_bottom_5223.png,
D:\CURE_crops\.\119/bottom/Customer/119_bottom_5226.png,T
D:\CURE_crops\.\119/bottom/Customer/119_bottom_5231.png,T
D:\CURE_crops\.\119/bottom/Customer/119_bottom_5234.png,D X
D:\CURE_crops\.\119/bottom/Customer/119_bottom_5235.png,T
D:\CURE_crops\.\119/top/Customer/119_top_5197.png,WAT
D:\CURE_crops\.\119/top/Customer/119_top_5203.png,777
D:\CURE_crops\.\119/top/Customer/119_top_5207.png,T
D:\CURE_crops\.\12/bottom/Customer/12_bottom_542.png,5
D:\CURE_crops\.\12/bottom/Customer/12_bottom_544.png,L
D:\CURE_crops\.\12/bottom/Customer/12_bottom_547.png,5
D:\CURE_crops\.\12/bottom/Customer/12_bottom_561.png,T
D:\CURE_crops\.\12/top/Customer/12_top_522.png,M B
D:\CURE_crops\.\12/top/Customer/12_top_525.png,
D:\CURE_crops\.\12/top/Customer/12_top_530.png,T
D:\CURE_crops\.\12/top/Customer/12_top_536.png,T7
D:\CURE_crops\.\120/bottom/Customer/120_bottom_5259.png,T
D:\CURE_crops\.\120/bottom/Customer/120_bottom_5263.png,L
D:\CURE_crops\.\120/bottom/Customer/120_bottom_5268.png,B
D:\CURE_crops\.\120/bottom/Customer/120_bottom_5277.png,T
D:\CURE_crops\.\120/bottom/Customer/120_bottom_5282.png,T
D:\CURE_crops\.\120/top/Customer/120_top_5242.png,E 70
D:\CURE_crops\.\120/top/Customer/120_top_5243.png,F OL
D:\CURE_crops\.\120/top/Customer/120_top_5246.png,FOL
D:\CURE_crops\.\120/top/Customer/120_top_5248.png,FOL
D:\CURE_crops\.\121/bottom/Customer/121_bottom_5312.png,T
D:\CURE_crops\.\121/bottom/Customer/121_bottom_5322.png,HEYL 20
D:\CURE_crops\.\121/bottom/Customer/121_bottom_5323.png,T
D:\CURE_crops\.\121/bottom/Customer/121_bottom_5325.png,T
D:\CURE_crops\.\121/top/Customer/121_top_5283.png,GMP GW5
D:\CURE_crops\.\121/top/Customer/121_top_5289.png,GMP
D:\CURE_crops\.\121/top/Customer/121_top_5291.png,
D:\CURE_crops\.\121/top/Customer/121_top_5299.png,GMP
D:\CURE_crops\.\122/bottom/Customer/122_bottom_5351.png,T
D:\CURE_crops\.\122/bottom/Customer/122_bottom_5357.png,T
D:\CURE_crops\.\122/bottom/Customer/122_bottom_5358.png,T
D:\CURE_crops\.\122/bottom/Customer/122_bottom_5359.png,T
D:\CURE_crops\.\122/bottom/Customer/122_bottom_5360.png,T
D:\CURE_crops\.\122/bottom/Customer/122_bottom_5367.png,T
D:\CURE_crops\.\122/top/Customer/122_top_5328.png,HLP
D:\CURE_crops\.\122/top/Customer/122_top_5334.png,T
D:\CURE_crops\.\122/top/Customer/122_top_5347.png,B
D:\CURE_crops\.\123/bottom/Customer/123_bottom_5395.png,L 10
D:\CURE_crops\.\123/bottom/Customer/123_bottom_5396.png,LILF
D:\CURE_crops\.\123/bottom/Customer/123_bottom_5397.png,B
D:\CURE_crops\.\123/bottom/Customer/123_bottom_5398.png,L T
D:\CURE_crops\.\123/bottom/Customer/123_bottom_5411.png,T
D:\CURE_crops\.\123/top/Customer/123_top_5373.png,D W
D:\CURE_crops\.\123/top/Customer/123_top_5375.png,M D
D:\CURE_crops\.\123/top/Customer/123_top_5385.png,T
D:\CURE_crops\.\124/bottom/Customer/124_bottom_5435.png,
D:\CURE_crops\.\124/bottom/Customer/124_bottom_5445.png,T
D:\CURE_crops\.\124/bottom/Customer/124_bottom_5448.png,
D:\CURE_crops\.\124/bottom/Customer/124_bottom_5450.png,
D:\CURE_crops\.\124/top/Customer/124_top_5413.png,HM WC
D:\CURE_crops\.\124/top/Customer/124_top_5418.png,D WH
D:\CURE_crops\.\124/top/Customer/124_top_5420.png,HMCI
D:\CURE_crops\.\125/bottom/Customer/125_bottom_5479.png,
D:\CURE_crops\.\125/bottom/Customer/125_bottom_5483.png,
D:\CURE_crops\.\125/bottom/Customer/125_bottom_5489.png,T
D:\CURE_crops\.\125/bottom/Customer/125_bottom_5492.png,
D:\CURE_crops\.\125/bottom/Customer/125_bottom_5493.png,T
D:\CURE_crops\.\125/top/Customer/125_top_5462.png,T
D:\CURE_crops\.\125/top/Customer/125_top_5471.png,T
D:\CURE_crops\.\125/top/Customer/125_top_5472.png,LOX C
D:\CURE_crops\.\126/bottom/Customer/126_bottom_5523.png,
D:\CURE_crops\.\126/bottom/Customer/126_bottom_5526.png,T
D:\CURE_crops\.\126/bottom/Customer/126_bottom_5527.png,T
D:\CURE_crops\.\126/bottom/Customer/126_bottom_5532.png,
D:\CURE_crops\.\126/bottom/Customer/126_bottom_5535.png,H
D:\CURE_crops\.\126/top/Customer/126_top_5503.png,T
D:\CURE_crops\.\126/top/Customer/126_top_5506.png,T
D:\CURE_crops\.\126/top/Customer/126_top_5509.png,T
D:\CURE_crops\.\126/top/Customer/126_top_5511.png,2
D:\CURE_crops\.\127/bottom/Customer/127_bottom_5566.png,5045
D:\CURE_crops\.\127/bottom/Customer/127_bottom_5576.png,9470 G
D:\CURE_crops\.\127/bottom/Customer/127_bottom_5579.png,946 509
D:\CURE_crops\.\127/top/Customer/127_top_5539.png,SOLVAY
D:\CURE_crops\.\127/top/Customer/127_top_5553.png,T
D:\CURE_crops\.\127/top/Customer/127_top_5557.png,SOLAIOS
D:\CURE_crops\.\127/top/Customer/127_top_5559.png,SOLVAY
D:\CURE_crops\.\127/top/Customer/127_top_5561.png,SOLARIX
D:\CURE_crops\.\128/bottom/Customer/128_bottom_5601.png,N 3
D:\CURE_crops\.\128/bottom/Customer/128_bottom_5603.png,EN
D:\CURE_crops\.\128/bottom/Customer/128_bottom_5606.png,N
D:\CURE_crops\.\128/bottom/Customer/128_bottom_5608.png,N
D:\CURE_crops\.\128/bottom/Customer/128_bottom_5618.png,A
D:\CURE_crops\.\128/bottom/Customer/128_bottom_5619.png,N3
D:\CURE_crops\.\128/top/Customer/128_top_5588.png,D M
D:\CURE_crops\.\129/bottom/Customer/129_bottom_5647.png,T
D:\CURE_crops\.\129/bottom/Customer/129_bottom_5654.png,T
D:\CURE_crops\.\129/bottom/Customer/129_bottom_5655.png,T
D:\CURE_crops\.\129/bottom/Customer/129_bottom_5666.png,T
D:\CURE_crops\.\129/top/Customer/129_top_5621.png,D W DFR
D:\CURE_crops\.\129/top/Customer/129_top_5626.png,DW DFR
D:\CURE_crops\.\129/top/Customer/129_top_5630.png,D W DF
D:\CURE_crops\.\129/top/Customer/129_top_5639.png,T
D:\CURE_crops\.\129/top/Customer/129_top_5643.png,T
D:\CURE_crops\.\13/bottom/Customer/13_bottom_587.png,10
D:\CURE_crops\.\13/bottom/Customer/13_bottom_588.png,10
D:\CURE_crops\.\13/bottom/Customer/13_bottom_592.png,01
D:\CURE_crops\.\13/bottom/Customer/13_bottom_594.png,10
D:\CURE_crops\.\13/bottom/Customer/13_bottom_597.png,T
D:\CURE_crops\.\13/bottom/Customer/13_bottom_604.png,AP
D:\CURE_crops\.\13/bottom/Customer/13_bottom_612.png,T0
D:\CURE_crops\.\13/top/Customer/13_top_576.png,T1
D:\CURE_crops\.\13/top/Customer/13_top_584.png,LPS
D:\CURE_crops\.\13/top/Customer/13_top_586.png,T
D:\CURE_crops\.\130/bottom/Customer/130_bottom_5693.png,SK S
D:\CURE_crops\.\130/bottom/Customer/130_bottom_5698.png,SK
D:\CURE_crops\.\130/bottom/Customer/130_bottom_5705.png,
D:\CURE_crops\.\130/bottom/Customer/130_bottom_5708.png,M
D:\CURE_crops\.\130/top/Customer/130_top_5675.png,T200
D:\CURE_crops\.\130/top/Customer/130_top_5677.png,
D:\CURE_crops\.\130/top/Customer/130_top_5683.png,T
D:\CURE_crops\.\130/top/Customer/130_top_5688.png,1200
D:\CURE_crops\.\131/bottom/Customer/131_bottom_5737.png,SP
D:\CURE_crops\.\131/bottom/Customer/131_bottom_5742.png,SP
D:\CURE_crops\.\131/bottom/Customer/131_bottom_5748.png,T
D:\CURE_crops\.\131/bottom/Customer/131_bottom_5749.png,TAP
D:\CURE_crops\.\131/bottom/Customer/131_bottom_5754.png,L
D:\CURE_crops\.\131/bottom/Customer/131_bottom_5757.png,T
D:\CURE_crops\.\131/top/Customer/131_top_5712.png,S 3
D:\CURE_crops\.\131/top/Customer/131_top_5728.png,L
D:\CURE_crops\.\131/top/Customer/131_top_5732.png,T
D:\CURE_crops\.\132/bottom/Customer/132_bottom_5782.png,CL
D:\CURE_crops\.\132/bottom/Customer/132_bottom_5785.png,7 5
D:\CURE_crops\.\132/bottom/Customer/132_bottom_5789.png,CL
D:\CURE_crops\.\132/bottom/Customer/132_bottom_5798.png,T
D:\CURE_crops\.\132/bottom/Customer/132_bottom_5802.png,T
D:\CURE_crops\.\132/bottom/Customer/132_bottom_5803.png,T
D:\CURE_crops\.\132/top/Customer/132_top_5770.png,833
D:\CURE_crops\.\132/top/Customer/132_top_5775.png,B
D:\CURE_crops\.\132/top/Customer/132_top_5779.png,T
D:\CURE_crops\.\133/bottom/Customer/133_bottom_5830.png,T
D:\CURE_crops\.\133/bottom/Customer/133_bottom_5832.png,T
D:\CURE_crops\.\133/bottom/Customer/133_bottom_5838.png,
D:\CURE_crops\.\133/bottom/Customer/133_bottom_5848.png,T
D:\CURE_crops\.\133/bottom/Customer/133_bottom_5849.png,T
D:\CURE_crops\.\133/top/Customer/133_top_5807.png,
D:\CURE_crops\.\133/top/Customer/133_top_5818.png,HNP LST
D:\CURE_crops\.\133/top/Customer/133_top_5819.png,T
D:\CURE_crops\.\134/bottom/Customer/134_bottom_5877.png,
D:\CURE_crops\.\134/bottom/Customer/134_bottom_5884.png,L
D:\CURE_crops\.\134/bottom/Customer/134_bottom_5888.png,T
D:\CURE_crops\.\134/bottom/Customer/134_bottom_5893.png,T
D:\CURE_crops\.\134/bottom/Customer/134_bottom_5900.png,
D:\CURE_crops\.\134/top/Customer/134_top_5854.png,WPI ASCOLUS
D:\CURE_crops\.\134/top/Customer/134_top_5861.png,SCOUGH XJP
D:\CURE_crops\.\134/top/Customer/134_top_5864.png,T
D:\CURE_crops\.\134/top/Customer/134_top_5875.png,TAP 40
D:\CURE_crops\.\134/top/Customer/134_top_5876.png,T
D:\CURE_crops\.\135/bottom/Customer/135_bottom_5932.png,NH
D:\CURE_crops\.\135/bottom/Customer/135_bottom_5938.png,T
D:\CURE_crops\.\135/top/Customer/135_top_5904.png,3
D:\CURE_crops\.\135/top/Customer/135_top_5908.png,CX
D:\CURE_crops\.\135/top/Customer/135_top_5913.png,C
D:\CURE_crops\.\135/top/Customer/135_top_5916.png,C
D:\CURE_crops\.\135/top/Customer/135_top_5919.png,GX
D:\CURE_crops\.\135/top/Customer/135_top_5920.png,C
D:\CURE_crops\.\135/top/Customer/135_top_5924.png,T
D:\CURE_crops\.\136/bottom/Customer/136_bottom_5987.png,T
D:\CURE_crops\.\136/bottom/Customer/136_bottom_5988.png,L
D:\CURE_crops\.\136/bottom/Customer/136_bottom_5996.png,T
D:\CURE_crops\.\136/top/Customer/136_top_5956.png,CCL
D:\CURE_crops\.\136/top/Customer/136_top_5959.png,C
D:\CURE_crops\.\136/top/Customer/136_top_5963.png,T
D:\CURE_crops\.\136/top/Customer/136_top_5964.png,TCL 100
D:\CURE_crops\.\136/top/Customer/136_top_5966.png,703
D:\CURE_crops\.\136/top/Customer/136_top_5970.png,G340
D:\CURE_crops\.\137/bottom/Customer/137_bottom_6024.png,T
D:\CURE_crops\.\137/bottom/Customer/137_bottom_6027.png,T
D:\CURE_crops\.\137/bottom/Customer/137_bottom_6032.png,T
D:\CURE_crops\.\137/bottom/Customer/137_bottom_6039.png,T
D:\CURE_crops\.\137/top/Customer/137_top_5999.png,BR25
D:\CURE_crops\.\137/top/Customer/137_top_6003.png,BRS25
D:\CURE_crops\.\137/top/Customer/137_top_6006.png,BR
D:\CURE_crops\.\137/top/Customer/137_top_6008.png,BR25
D:\CURE_crops\.\137/top/Customer/137_top_6018.png,BR 25
D:\CURE_crops\.\138/bottom/Customer/138_bottom_6068.png,T
D:\CURE_crops\.\138/bottom/Customer/138_bottom_6076.png,T
D:\CURE_crops\.\138/bottom/Customer/138_bottom_6077.png,T
D:\CURE_crops\.\138/bottom/Customer/138_bottom_6090.png,T
D:\CURE_crops\.\138/top/Customer/138_top_6044.png,C2N
D:\CURE_crops\.\138/top/Customer/138_top_6046.png,Z 8
D:\CURE_crops\.\138/top/Customer/138_top_6052.png,8 CN
D:\CURE_crops\.\138/top/Customer/138_top_6053.png,1589
D:\CURE_crops\.\138/top/Customer/138_top_6056.png,Z 89
D:\CURE_crops\.\139/bottom/Customer/139_bottom_6118.png,B
D:\CURE_crops\.\139/bottom/Customer/139_bottom_6135.png,T
D:\CURE_crops\.\139/top/Customer/139_top_6091.png,SP
D:\CURE_crops\.\139/top/Customer/139_top_6094.png,SP CLEANSER
D:\CURE_crops\.\139/top/Customer/139_top_6097.png,CLEANCEF
D:\CURE_crops\.\139/top/Customer/139_top_6103.png,T
D:\CURE_crops\.\139/top/Customer/139_top_6104.png,T
D:\CURE_crops\.\139/top/Customer/139_top_6106.png,T
D:\CURE_crops\.\139/top/Customer/139_top_6112.png,RED
D:\CURE_crops\.\14/bottom/Customer/14_bottom_655.png,T
D:\CURE_crops\.\14/top/Customer/14_top_614.png,DG
D:\CURE_crops\.\14/top/Customer/14_top_620.png,DC
D:\CURE_crops\.\14/top/Customer/14_top_623.png,T
D:\CURE_crops\.\14/top/Customer/14_top_624.png,G D
D:\CURE_crops\.\14/top/Customer/14_top_625.png,DE
D:\CURE_crops\.\14/top/Customer/14_top_629.png,T
D:\CURE_crops\.\14/top/Customer/14_top_634.png,GC DB
D:\CURE_crops\.\140/bottom/Customer/140_bottom_6166.png,T
D:\CURE_crops\.\140/bottom/Customer/140_bottom_6179.png,T
D:\CURE_crops\.\140/bottom/Customer/140_bottom_6183.png,RED
D:\CURE_crops\.\140/bottom/Customer/140_bottom_6188.png,T
D:\CURE_crops\.\140/top/Customer/140_top_6141.png,SP CEFADINE 500
D:\CURE_crops\.\140/top/Customer/140_top_6155.png,SP CERNETOLINE
D:\CURE_crops\.\140/top/Customer/140_top_6159.png,T
D:\CURE_crops\.\140/top/Customer/140_top_6161.png,T
D:\CURE_crops\.\140/top/Customer/140_top_6164.png,PLAIN
D:\CURE_crops\.\140/top/Customer/140_top_6165.png,T
D:\CURE_crops\.\141/bottom/Customer/141_bottom_6218.png,
D:\CURE_crops\.\141/bottom/Customer/141_bottom_6219.png,YJP
D:\CURE_crops\.\141/bottom/Customer/141_bottom_6231.png,G341
D:\CURE_crops\.\141/bottom/Customer/141_bottom_6234.png,T
D:\CURE_crops\.\141/top/Customer/141_top_6192.png,HEYL 2
D:\CURE_crops\.\141/top/Customer/141_top_6194.png,Z48
D:\CURE_crops\.\141/top/Customer/141_top_6201.png,CARNITOR
D:\CURE_crops\.\141/top/Customer/141_top_6206.png,T
D:\CURE_crops\.\141/top/Customer/141_top_6215.png,T
D:\CURE_crops\.\141/top/Customer/141_top_6216.png,3750
D:\CURE_crops\.\142/bottom/Customer/142_bottom_6267.png,PS 20
D:\CURE_crops\.\142/bottom/Customer/142_bottom_6268.png,PS 20
D:\CURE_crops\.\142/bottom/Customer/142_bottom_6271.png,PS 20
D:\CURE_crops\.\142/top/Customer/142_top_6245.png,DCX
D:\CURE_crops\.\142/top/Customer/142_top_6253.png,
D:\CURE_crops\.\142/top/Customer/142_top_6257.png,T
D:\CURE_crops\.\142/top/Customer/142_top_6260.png,T
D:\CURE_crops\.\142/top/Customer/142_top_6261.png,HEYL 2
D:\CURE_crops\.\143/bottom/Customer/143_bottom_6317.png,
D:\CURE_crops\.\143/bottom/Customer/143_bottom_6327.png,0
