image,imprint
D:\ogyeiv2_crops\.\103/u/urotrin_u_012.png,N
D:\ogyeiv2_crops\.\103/u/urotrin_u_013.png,G3
D:\ogyeiv2_crops\.\103/u/urotrin_u_014.png,N
D:\ogyeiv2_crops\.\103/u/urotrin_u_015.png,N
D:\ogyeiv2_crops\.\103/u/urotrin_u_016.png,L 1
D:\ogyeiv2_crops\.\103/u/urotrin_u_017.png,G3
D:\ogyeiv2_crops\.\103/u/urotrin_u_018.png,G3
D:\ogyeiv2_crops\.\103/u/urotrin_u_019.png,B
D:\ogyeiv2_crops\.\11/u/betaloc_50_mg_u_000.png,L 3
D:\ogyeiv2_crops\.\11/u/betaloc_50_mg_u_001.png,4427
D:\ogyeiv2_crops\.\11/u/betaloc_50_mg_u_002.png,T
D:\ogyeiv2_crops\.\11/u/betaloc_50_mg_u_003.png,LZV
D:\ogyeiv2_crops\.\11/u/betaloc_50_mg_u_004.png,CORON
D:\ogyeiv2_crops\.\11/u/betaloc_50_mg_u_005.png,WATSON 500
D:\ogyeiv2_crops\.\11/u/betaloc_50_mg_u_006.png,342
D:\ogyeiv2_crops\.\11/u/betaloc_50_mg_u_007.png,5734
D:\ogyeiv2_crops\.\11/u/betaloc_50_mg_u_008.png,G347
D:\ogyeiv2_crops\.\11/u/betaloc_50_mg_u_009.png,WATSON 500
D:\ogyeiv2_crops\.\11/u/betaloc_50_mg_u_010.png,T
D:\ogyeiv2_crops\.\11/u/betaloc_50_mg_u_011.png,1
D:\ogyeiv2_crops\.\11/u/betaloc_50_mg_u_012.png,B 1
D:\ogyeiv2_crops\.\11/u/betaloc_50_mg_u_013.png,T
D:\ogyeiv2_crops\.\11/u/betaloc_50_mg_u_014.png,AS
D:\ogyeiv2_crops\.\11/u/betaloc_50_mg_u_015.png,AS
D:\ogyeiv2_crops\.\11/u/betaloc_50_mg_u_016.png,AS
D:\ogyeiv2_crops\.\11/u/betaloc_50_mg_u_017.png,AS
D:\ogyeiv2_crops\.\11/u/betaloc_50_mg_u_018.png,T
D:\ogyeiv2_crops\.\11/u/betaloc_50_mg_u_019.png,G342
D:\ogyeiv2_crops\.\12/u/bila_git_u_000.png,T
D:\ogyeiv2_crops\.\12/u/bila_git_u_001.png,T
D:\ogyeiv2_crops\.\12/u/bila_git_u_002.png,T
D:\ogyeiv2_crops\.\12/u/bila_git_u_003.png,T
D:\ogyeiv2_crops\.\12/u/bila_git_u_004.png,T
D:\ogyeiv2_crops\.\12/u/bila_git_u_005.png,E
D:\ogyeiv2_crops\.\12/u/bila_git_u_006.png,E
D:\ogyeiv2_crops\.\12/u/bila_git_u_007.png,SWAROVSKI 5301
D:\ogyeiv2_crops\.\12/u/bila_git_u_008.png,E 1
D:\ogyeiv2_crops\.\12/u/bila_git_u_009.png,T
D:\ogyeiv2_crops\.\12/u/bila_git_u_010.png,T
D:\ogyeiv2_crops\.\12/u/bila_git_u_011.png,T
D:\ogyeiv2_crops\.\12/u/bila_git_u_012.png,T
D:\ogyeiv2_crops\.\12/u/bila_git_u_013.png,T
D:\ogyeiv2_crops\.\12/u/bila_git_u_014.png,T
D:\ogyeiv2_crops\.\12/u/bila_git_u_015.png,T
D:\ogyeiv2_crops\.\12/u/bila_git_u_016.png,T
D:\ogyeiv2_crops\.\12/u/bila_git_u_017.png,T
D:\ogyeiv2_crops\.\12/u/bila_git_u_018.png,T
D:\ogyeiv2_crops\.\12/u/bila_git_u_019.png,B
D:\ogyeiv2_crops\.\18/u/cetirizin_10_mg_u_000.png,G342
D:\ogyeiv2_crops\.\18/u/cetirizin_10_mg_u_001.png,B 1
D:\ogyeiv2_crops\.\18/u/cetirizin_10_mg_u_002.png,G342
D:\ogyeiv2_crops\.\18/u/cetirizin_10_mg_u_003.png,T
D:\ogyeiv2_crops\.\18/u/cetirizin_10_mg_u_004.png,G342
D:\ogyeiv2_crops\.\18/u/cetirizin_10_mg_u_005.png,T
D:\ogyeiv2_crops\.\18/u/cetirizin_10_mg_u_006.png,T
D:\ogyeiv2_crops\.\18/u/cetirizin_10_mg_u_007.png,T
D:\ogyeiv2_crops\.\18/u/cetirizin_10_mg_u_008.png,B 1
D:\ogyeiv2_crops\.\18/u/cetirizin_10_mg_u_009.png,B 1
D:\ogyeiv2_crops\.\18/u/cetirizin_10_mg_u_010.png,T
D:\ogyeiv2_crops\.\18/u/cetirizin_10_mg_u_011.png,B 1
D:\ogyeiv2_crops\.\18/u/cetirizin_10_mg_u_012.png,B 1
D:\ogyeiv2_crops\.\18/u/cetirizin_10_mg_u_013.png,B 1
D:\ogyeiv2_crops\.\18/u/cetirizin_10_mg_u_014.png,B 1
D:\ogyeiv2_crops\.\18/u/cetirizin_10_mg_u_015.png,G342
D:\ogyeiv2_crops\.\18/u/cetirizin_10_mg_u_016.png,T
D:\ogyeiv2_crops\.\18/u/cetirizin_10_mg_u_017.png,B
D:\ogyeiv2_crops\.\18/u/cetirizin_10_mg_u_018.png,B 1
D:\ogyeiv2_crops\.\18/u/cetirizin_10_mg_u_019.png,T
D:\ogyeiv2_crops\.\26/u/controloc_20_mg_u_000.png,P 20
D:\ogyeiv2_crops\.\26/u/controloc_20_mg_u_001.png,P 20
D:\ogyeiv2_crops\.\26/u/controloc_20_mg_u_002.png,P 20
D:\ogyeiv2_crops\.\26/u/controloc_20_mg_u_003.png,P 20
D:\ogyeiv2_crops\.\26/u/controloc_20_mg_u_004.png,P 20
D:\ogyeiv2_crops\.\26/u/controloc_20_mg_u_005.png,P 20
D:\ogyeiv2_crops\.\26/u/controloc_20_mg_u_006.png,P 20
D:\ogyeiv2_crops\.\26/u/controloc_20_mg_u_007.png,P 20
D:\ogyeiv2_crops\.\26/u/controloc_20_mg_u_008.png,P 20
D:\ogyeiv2_crops\.\26/u/controloc_20_mg_u_009.png,P 20
D:\ogyeiv2_crops\.\26/u/controloc_20_mg_u_010.png,L
D:\ogyeiv2_crops\.\26/u/controloc_20_mg_u_011.png,L
D:\ogyeiv2_crops\.\26/u/controloc_20_mg_u_012.png,L
D:\ogyeiv2_crops\.\26/u/controloc_20_mg_u_013.png,ALMOND
D:\ogyeiv2_crops\.\26/u/controloc_20_mg_u_014.png,M
D:\ogyeiv2_crops\.\26/u/controloc_20_mg_u_015.png,L
D:\ogyeiv2_crops\.\26/u/controloc_20_mg_u_016.png,L
D:\ogyeiv2_crops\.\26/u/controloc_20_mg_u_017.png,L
D:\ogyeiv2_crops\.\26/u/controloc_20_mg_u_018.png,L
D:\ogyeiv2_crops\.\26/u/controloc_20_mg_u_019.png,ALMOND
D:\ogyeiv2_crops\.\31/u/dorithricin_mentol_u_000.png,T
D:\ogyeiv2_crops\.\31/u/dorithricin_mentol_u_001.png,NORTRIPTYLINE DOPTHYNE
D:\ogyeiv2_crops\.\31/u/dorithricin_mentol_u_002.png,T
D:\ogyeiv2_crops\.\31/u/dorithricin_mentol_u_003.png,T
D:\ogyeiv2_crops\.\31/u/dorithricin_mentol_u_004.png,T
D:\ogyeiv2_crops\.\31/u/dorithricin_mentol_u_005.png,BLOMBOU
D:\ogyeiv2_crops\.\31/u/dorithricin_mentol_u_006.png,T
D:\ogyeiv2_crops\.\31/u/dorithricin_mentol_u_007.png,DOROTHYGIN
D:\ogyeiv2_crops\.\31/u/dorithricin_mentol_u_008.png,MYTHRICIN
D:\ogyeiv2_crops\.\31/u/dorithricin_mentol_u_009.png,T
D:\ogyeiv2_crops\.\31/u/dorithricin_mentol_u_010.png,T
D:\ogyeiv2_crops\.\31/u/dorithricin_mentol_u_011.png,T
D:\ogyeiv2_crops\.\31/u/dorithricin_mentol_u_012.png,T
D:\ogyeiv2_crops\.\31/u/dorithricin_mentol_u_013.png,T
D:\ogyeiv2_crops\.\31/u/dorithricin_mentol_u_014.png,T
D:\ogyeiv2_crops\.\31/u/dorithricin_mentol_u_015.png,T
D:\ogyeiv2_crops\.\31/u/dorithricin_mentol_u_016.png,T
D:\ogyeiv2_crops\.\31/u/dorithricin_mentol_u_017.png,T
D:\ogyeiv2_crops\.\31/u/dorithricin_mentol_u_018.png,T
D:\ogyeiv2_crops\.\31/u/dorithricin_mentol_u_019.png,T
D:\ogyeiv2_crops\.\36/u/enterol_250_mg_u_000.png,T
D:\ogyeiv2_crops\.\36/u/enterol_250_mg_u_001.png,G342
D:\ogyeiv2_crops\.\36/u/enterol_250_mg_u_002.png,T
D:\ogyeiv2_crops\.\36/u/enterol_250_mg_u_003.png,T
D:\ogyeiv2_crops\.\36/u/enterol_250_mg_u_004.png,T
D:\ogyeiv2_crops\.\36/u/enterol_250_mg_u_005.png,G342
D:\ogyeiv2_crops\.\36/u/enterol_250_mg_u_006.png,G342
D:\ogyeiv2_crops\.\36/u/enterol_250_mg_u_007.png,G342
D:\ogyeiv2_crops\.\36/u/enterol_250_mg_u_008.png,G342
D:\ogyeiv2_crops\.\36/u/enterol_250_mg_u_009.png,G342
D:\ogyeiv2_crops\.\36/u/enterol_250_mg_u_010.png,T
D:\ogyeiv2_crops\.\36/u/enterol_250_mg_u_011.png,G342
D:\ogyeiv2_crops\.\36/u/enterol_250_mg_u_012.png,CAPSULE
D:\ogyeiv2_crops\.\36/u/enterol_250_mg_u_013.png,G342
D:\ogyeiv2_crops\.\36/u/enterol_250_mg_u_014.png,T
D:\ogyeiv2_crops\.\36/u/enterol_250_mg_u_015.png,T
D:\ogyeiv2_crops\.\36/u/enterol_250_mg_u_016.png,T
D:\ogyeiv2_crops\.\36/u/enterol_250_mg_u_017.png,T
D:\ogyeiv2_crops\.\36/u/enterol_250_mg_u_018.png,G342
D:\ogyeiv2_crops\.\36/u/enterol_250_mg_u_019.png,T
D:\ogyeiv2_crops\.\4/u/algoflex_rapid_400_mg_u_000.png,G3
D:\ogyeiv2_crops\.\4/u/algoflex_rapid_400_mg_u_001.png,SCARAB
D:\ogyeiv2_crops\.\4/u/algoflex_rapid_400_mg_u_002.png,T
D:\ogyeiv2_crops\.\4/u/algoflex_rapid_400_mg_u_003.png,T
D:\ogyeiv2_crops\.\4/u/algoflex_rapid_400_mg_u_004.png,C
D:\ogyeiv2_crops\.\4/u/algoflex_rapid_400_mg_u_005.png,E
D:\ogyeiv2_crops\.\4/u/algoflex_rapid_400_mg_u_006.png,C
D:\ogyeiv2_crops\.\4/u/algoflex_rapid_400_mg_u_007.png,C
D:\ogyeiv2_crops\.\4/u/algoflex_rapid_400_mg_u_008.png,G3
D:\ogyeiv2_crops\.\4/u/algoflex_rapid_400_mg_u_009.png,T
D:\ogyeiv2_crops\.\4/u/algoflex_rapid_400_mg_u_010.png,SCARAB
D:\ogyeiv2_crops\.\4/u/algoflex_rapid_400_mg_u_011.png,SCOTT
D:\ogyeiv2_crops\.\4/u/algoflex_rapid_400_mg_u_012.png,0
D:\ogyeiv2_crops\.\4/u/algoflex_rapid_400_mg_u_013.png,O
D:\ogyeiv2_crops\.\4/u/algoflex_rapid_400_mg_u_014.png,O
D:\ogyeiv2_crops\.\4/u/algoflex_rapid_400_mg_u_015.png,R
D:\ogyeiv2_crops\.\4/u/algoflex_rapid_400_mg_u_016.png,O
D:\ogyeiv2_crops\.\4/u/algoflex_rapid_400_mg_u_017.png,C
D:\ogyeiv2_crops\.\4/u/algoflex_rapid_400_mg_u_018.png,C
D:\ogyeiv2_crops\.\4/u/algoflex_rapid_400_mg_u_019.png,O
D:\ogyeiv2_crops\.\40/u/frontin_0_5_mg_u_000.png,2197
D:\ogyeiv2_crops\.\40/u/frontin_0_5_mg_u_001.png,B 375
D:\ogyeiv2_crops\.\40/u/frontin_0_5_mg_u_002.png,R272
D:\ogyeiv2_crops\.\40/u/frontin_0_5_mg_u_003.png,ZELZ
D:\ogyeiv2_crops\.\40/u/frontin_0_5_mg_u_004.png,Z52
D:\ogyeiv2_crops\.\40/u/frontin_0_5_mg_u_005.png,R2D1
D:\ogyeiv2_crops\.\40/u/frontin_0_5_mg_u_006.png,B 75
D:\ogyeiv2_crops\.\40/u/frontin_0_5_mg_u_007.png,G34
D:\ogyeiv2_crops\.\40/u/frontin_0_5_mg_u_008.png,PLAIN
D:\ogyeiv2_crops\.\40/u/frontin_0_5_mg_u_009.png,ZC
D:\ogyeiv2_crops\.\40/u/frontin_0_5_mg_u_010.png,E 1
D:\ogyeiv2_crops\.\40/u/frontin_0_5_mg_u_011.png,B 1
D:\ogyeiv2_crops\.\40/u/frontin_0_5_mg_u_012.png,B 1
D:\ogyeiv2_crops\.\40/u/frontin_0_5_mg_u_013.png,B 1
D:\ogyeiv2_crops\.\40/u/frontin_0_5_mg_u_014.png,B 1
D:\ogyeiv2_crops\.\40/u/frontin_0_5_mg_u_015.png,B 1
D:\ogyeiv2_crops\.\40/u/frontin_0_5_mg_u_016.png,B 1
D:\ogyeiv2_crops\.\40/u/frontin_0_5_mg_u_017.png,B 1
D:\ogyeiv2_crops\.\40/u/frontin_0_5_mg_u_018.png,G342
D:\ogyeiv2_crops\.\40/u/frontin_0_5_mg_u_019.png,E
D:\ogyeiv2_crops\.\42/u/ibumax_400_mg_u_000.png,T
D:\ogyeiv2_crops\.\42/u/ibumax_400_mg_u_001.png,T
D:\ogyeiv2_crops\.\42/u/ibumax_400_mg_u_002.png,G342
D:\ogyeiv2_crops\.\42/u/ibumax_400_mg_u_003.png,T
D:\ogyeiv2_crops\.\42/u/ibumax_400_mg_u_004.png,T
D:\ogyeiv2_crops\.\42/u/ibumax_400_mg_u_005.png,T
D:\ogyeiv2_crops\.\42/u/ibumax_400_mg_u_006.png,T
D:\ogyeiv2_crops\.\42/u/ibumax_400_mg_u_007.png,T
D:\ogyeiv2_crops\.\42/u/ibumax_400_mg_u_008.png,T
D:\ogyeiv2_crops\.\42/u/ibumax_400_mg_u_009.png,T
D:\ogyeiv2_crops\.\42/u/ibumax_400_mg_u_010.png,T
D:\ogyeiv2_crops\.\42/u/ibumax_400_mg_u_011.png,G342
D:\ogyeiv2_crops\.\42/u/ibumax_400_mg_u_012.png,T
D:\ogyeiv2_crops\.\42/u/ibumax_400_mg_u_013.png,T
D:\ogyeiv2_crops\.\42/u/ibumax_400_mg_u_014.png,T
D:\ogyeiv2_crops\.\42/u/ibumax_400_mg_u_015.png,G342
D:\ogyeiv2_crops\.\42/u/ibumax_400_mg_u_016.png,T
D:\ogyeiv2_crops\.\42/u/ibumax_400_mg_u_017.png,T
D:\ogyeiv2_crops\.\42/u/ibumax_400_mg_u_018.png,T
D:\ogyeiv2_crops\.\42/u/ibumax_400_mg_u_019.png,HEYL
D:\ogyeiv2_crops\.\44/u/jutavit_c_vitamin_u_000.png,T
D:\ogyeiv2_crops\.\44/u/jutavit_c_vitamin_u_001.png,T
D:\ogyeiv2_crops\.\44/u/jutavit_c_vitamin_u_002.png,T
D:\ogyeiv2_crops\.\44/u/jutavit_c_vitamin_u_003.png,T
D:\ogyeiv2_crops\.\44/u/jutavit_c_vitamin_u_004.png,G3
D:\ogyeiv2_crops\.\44/u/jutavit_c_vitamin_u_005.png,T
D:\ogyeiv2_crops\.\44/u/jutavit_c_vitamin_u_006.png,T
D:\ogyeiv2_crops\.\44/u/jutavit_c_vitamin_u_007.png,T
D:\ogyeiv2_crops\.\44/u/jutavit_c_vitamin_u_008.png,T
D:\ogyeiv2_crops\.\44/u/jutavit_c_vitamin_u_009.png,T
D:\ogyeiv2_crops\.\44/u/jutavit_c_vitamin_u_010.png,T
D:\ogyeiv2_crops\.\44/u/jutavit_c_vitamin_u_011.png,T
D:\ogyeiv2_crops\.\44/u/jutavit_c_vitamin_u_012.png,T
D:\ogyeiv2_crops\.\44/u/jutavit_c_vitamin_u_013.png,G342
D:\ogyeiv2_crops\.\44/u/jutavit_c_vitamin_u_014.png,N
D:\ogyeiv2_crops\.\44/u/jutavit_c_vitamin_u_015.png,T
D:\ogyeiv2_crops\.\44/u/jutavit_c_vitamin_u_016.png,T
D:\ogyeiv2_crops\.\44/u/jutavit_c_vitamin_u_017.png,T
D:\ogyeiv2_crops\.\44/u/jutavit_c_vitamin_u_018.png,T
D:\ogyeiv2_crops\.\44/u/jutavit_c_vitamin_u_019.png,T
D:\ogyeiv2_crops\.\47/u/kalium_r_u_000.png,T
D:\ogyeiv2_crops\.\47/u/kalium_r_u_001.png,W
D:\ogyeiv2_crops\.\47/u/kalium_r_u_002.png,T
D:\ogyeiv2_crops\.\47/u/kalium_r_u_003.png,T
D:\ogyeiv2_crops\.\47/u/kalium_r_u_004.png,PLAIN
D:\ogyeiv2_crops\.\47/u/kalium_r_u_005.png,T
D:\ogyeiv2_crops\.\47/u/kalium_r_u_006.png,T
D:\ogyeiv2_crops\.\47/u/kalium_r_u_007.png,T
D:\ogyeiv2_crops\.\47/u/kalium_r_u_008.png,T
D:\ogyeiv2_crops\.\47/u/kalium_r_u_009.png,T
D:\ogyeiv2_crops\.\47/u/kalium_r_u_010.png,T
D:\ogyeiv2_crops\.\47/u/kalium_r_u_011.png,T
D:\ogyeiv2_crops\.\47/u/kalium_r_u_012.png,M
D:\ogyeiv2_crops\.\47/u/kalium_r_u_013.png,T
D:\ogyeiv2_crops\.\47/u/kalium_r_u_014.png,T
D:\ogyeiv2_crops\.\47/u/kalium_r_u_015.png,T
D:\ogyeiv2_crops\.\47/u/kalium_r_u_016.png,T
D:\ogyeiv2_crops\.\47/u/kalium_r_u_017.png,T
D:\ogyeiv2_crops\.\47/u/kalium_r_u_018.png,T
D:\ogyeiv2_crops\.\47/u/kalium_r_u_019.png,M
D:\ogyeiv2_crops\.\53/u/laresin_10_mg_u_000.png,308
D:\ogyeiv2_crops\.\53/u/laresin_10_mg_u_001.png,40
D:\ogyeiv2_crops\.\53/u/laresin_10_mg_u_002.png,80
D:\ogyeiv2_crops\.\53/u/laresin_10_mg_u_003.png,T
D:\ogyeiv2_crops\.\53/u/laresin_10_mg_u_004.png,G35
D:\ogyeiv2_crops\.\53/u/laresin_10_mg_u_005.png,449
D:\ogyeiv2_crops\.\53/u/laresin_10_mg_u_006.png,T
D:\ogyeiv2_crops\.\53/u/laresin_10_mg_u_007.png,G342
D:\ogyeiv2_crops\.\53/u/laresin_10_mg_u_008.png,8
D:\ogyeiv2_crops\.\53/u/laresin_10_mg_u_009.png,343
D:\ogyeiv2_crops\.\53/u/laresin_10_mg_u_010.png,T
D:\ogyeiv2_crops\.\53/u/laresin_10_mg_u_011.png,T
D:\ogyeiv2_crops\.\53/u/laresin_10_mg_u_012.png,T
D:\ogyeiv2_crops\.\53/u/laresin_10_mg_u_013.png,T
D:\ogyeiv2_crops\.\53/u/laresin_10_mg_u_014.png,E 1
D:\ogyeiv2_crops\.\53/u/laresin_10_mg_u_015.png,T
D:\ogyeiv2_crops\.\53/u/laresin_10_mg_u_016.png,SWAROVSKI
D:\ogyeiv2_crops\.\53/u/laresin_10_mg_u_017.png,T
D:\ogyeiv2_crops\.\53/u/laresin_10_mg_u_018.png,T
D:\ogyeiv2_crops\.\53/u/laresin_10_mg_u_019.png,MACARON
D:\ogyeiv2_crops\.\55/u/lordestin_5_mg_u_000.png,E 1
D:\ogyeiv2_crops\.\55/u/lordestin_5_mg_u_001.png,L
D:\ogyeiv2_crops\.\55/u/lordestin_5_mg_u_002.png,L
D:\ogyeiv2_crops\.\55/u/lordestin_5_mg_u_003.png,E 1
D:\ogyeiv2_crops\.\55/u/lordestin_5_mg_u_004.png,E 100
D:\ogyeiv2_crops\.\55/u/lordestin_5_mg_u_005.png,T
D:\ogyeiv2_crops\.\55/u/lordestin_5_mg_u_006.png,T
D:\ogyeiv2_crops\.\55/u/lordestin_5_mg_u_007.png,L
D:\ogyeiv2_crops\.\55/u/lordestin_5_mg_u_008.png,L
D:\ogyeiv2_crops\.\55/u/lordestin_5_mg_u_009.png,L
D:\ogyeiv2_crops\.\55/u/lordestin_5_mg_u_010.png,RO3
D:\ogyeiv2_crops\.\55/u/lordestin_5_mg_u_011.png,G308
D:\ogyeiv2_crops\.\55/u/lordestin_5_mg_u_012.png,808
D:\ogyeiv2_crops\.\55/u/lordestin_5_mg_u_013.png,208
D:\ogyeiv2_crops\.\55/u/lordestin_5_mg_u_014.png,G308
D:\ogyeiv2_crops\.\55/u/lordestin_5_mg_u_015.png,R 02
D:\ogyeiv2_crops\.\55/u/lordestin_5_mg_u_016.png,B 8
D:\ogyeiv2_crops\.\55/u/lordestin_5_mg_u_017.png,R03
D:\ogyeiv2_crops\.\55/u/lordestin_5_mg_u_018.png,R03
D:\ogyeiv2_crops\.\55/u/lordestin_5_mg_u_019.png,RO3
D:\ogyeiv2_crops\.\65/u/naprosyn_250_mg_u_000.png,G342
D:\ogyeiv2_crops\.\65/u/naprosyn_250_mg_u_001.png,L1
D:\ogyeiv2_crops\.\65/u/naprosyn_250_mg_u_002.png,L
D:\ogyeiv2_crops\.\65/u/naprosyn_250_mg_u_003.png,L
D:\ogyeiv2_crops\.\65/u/naprosyn_250_mg_u_004.png,T
D:\ogyeiv2_crops\.\65/u/naprosyn_250_mg_u_005.png,B 1
D:\ogyeiv2_crops\.\65/u/naprosyn_250_mg_u_006.png,L
D:\ogyeiv2_crops\.\65/u/naprosyn_250_mg_u_007.png,T
D:\ogyeiv2_crops\.\65/u/naprosyn_250_mg_u_008.png,L1
D:\ogyeiv2_crops\.\65/u/naprosyn_250_mg_u_009.png,T
D:\ogyeiv2_crops\.\65/u/naprosyn_250_mg_u_010.png,NORSYN
D:\ogyeiv2_crops\.\65/u/naprosyn_250_mg_u_011.png,NARANJOS
D:\ogyeiv2_crops\.\65/u/naprosyn_250_mg_u_012.png,SYN
D:\ogyeiv2_crops\.\65/u/naprosyn_250_mg_u_013.png,NAD COSYN
D:\ogyeiv2_crops\.\65/u/naprosyn_250_mg_u_014.png,NADYS 500
D:\ogyeiv2_crops\.\65/u/naprosyn_250_mg_u_015.png,SYN 44
D:\ogyeiv2_crops\.\65/u/naprosyn_250_mg_u_016.png,NAGYN 108
D:\ogyeiv2_crops\.\65/u/naprosyn_250_mg_u_017.png,NARD ROSYN
D:\ogyeiv2_crops\.\65/u/naprosyn_250_mg_u_018.png,NAROSYN
D:\ogyeiv2_crops\.\65/u/naprosyn_250_mg_u_019.png,WATSON 50 MG
D:\ogyeiv2_crops\.\66/u/narva_sr_1_5_mg_retard_u_000.png,933
D:\ogyeiv2_crops\.\66/u/narva_sr_1_5_mg_retard_u_001.png,T
D:\ogyeiv2_crops\.\66/u/narva_sr_1_5_mg_retard_u_002.png,T
D:\ogyeiv2_crops\.\66/u/narva_sr_1_5_mg_retard_u_003.png,E 1
D:\ogyeiv2_crops\.\66/u/narva_sr_1_5_mg_retard_u_004.png,E 1
D:\ogyeiv2_crops\.\66/u/narva_sr_1_5_mg_retard_u_005.png,T
D:\ogyeiv2_crops\.\66/u/narva_sr_1_5_mg_retard_u_006.png,T
D:\ogyeiv2_crops\.\66/u/narva_sr_1_5_mg_retard_u_007.png,T
D:\ogyeiv2_crops\.\66/u/narva_sr_1_5_mg_retard_u_008.png,OPALINE
D:\ogyeiv2_crops\.\66/u/narva_sr_1_5_mg_retard_u_009.png,T
D:\ogyeiv2_crops\.\66/u/narva_sr_1_5_mg_retard_u_010.png,T
D:\ogyeiv2_crops\.\66/u/narva_sr_1_5_mg_retard_u_011.png,T
D:\ogyeiv2_crops\.\66/u/narva_sr_1_5_mg_retard_u_012.png,E 1
D:\ogyeiv2_crops\.\66/u/narva_sr_1_5_mg_retard_u_013.png,T
D:\ogyeiv2_crops\.\66/u/narva_sr_1_5_mg_retard_u_014.png,T
D:\ogyeiv2_crops\.\66/u/narva_sr_1_5_mg_retard_u_015.png,T
D:\ogyeiv2_crops\.\66/u/narva_sr_1_5_mg_retard_u_016.png,T
D:\ogyeiv2_crops\.\66/u/narva_sr_1_5_mg_retard_u_017.png,T
