full_path,domain,label_prod_code,splimprint,is_front,reader,pred_raw,exact,side_match,token_recall,token_set,cer,contains,pred_norm,gt_norm
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00074-6594-90_PART_1_OF_1_CHAL10_SB_AB1D55FA.jpg,reference,74-6594,SYNTHROID;88,False,qwen,I 88,0,0,0.5,0,0.7272727272727273,0,I 88,SYNTHROID 88
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00074-6594-90_PART_1_OF_1_CHAL10_SF_AB1D55FA.jpg,reference,74-6594,SYNTHROID;88,True,qwen,GYNTHROID,0,0,0.0,0,0.2727272727272727,0,GYNTHROID,SYNTHROID 88
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00075-7700-60_PART_1_OF_1_CHAL10_SB_E51C72E3.jpg,reference,75-7700,RPR;202,False,qwen,N,0,0,0.0,0,1.0,0,N,RPR 202
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00075-7700-60_PART_1_OF_1_CHAL10_SF_E51C72E3.jpg,reference,75-7700,RPR;202,True,qwen,RPR 202,1,1,1.0,1,0.0,1,RPR 202,RPR 202
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00078-0521-15_PART_1_OF_1_CHAL10_SB_E51D72AB.jpg,reference,78-521,NVR;LCI,False,qwen,LCI,0,1,0.5,0,0.5,0,LCI,NVR LCI
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00078-0521-15_PART_1_OF_1_CHAL10_SF_E51D72AB.jpg,reference,78-521,NVR;LCI,True,qwen,NYR,0,0,0.0,0,0.6666666666666666,0,NYR,NVR LCI
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-0199-01_PART_1_OF_1_CHAL10_SB_B6295B4A.jpg,reference,93-199,9;3;199,False,qwen,199,0,1,0.3333333333333333,0,0.4,0,199,9 3 199
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-0199-01_PART_1_OF_1_CHAL10_SB_CD266683.jpg,reference,93-199,9;3;199,False,qwen,199,0,1,0.3333333333333333,0,0.4,0,199,9 3 199
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-0199-01_PART_1_OF_1_CHAL10_SF_B6295B4A.jpg,reference,93-199,9;3;199,True,qwen,9 3,0,0,0.6666666666666666,0,0.6,0,9 3,9 3 199
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-0199-01_PART_1_OF_1_CHAL10_SF_CD266683.jpg,reference,93-199,9;3;199,True,qwen,9 3,0,0,0.6666666666666666,0,0.6,0,9 3,9 3 199
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-0308-01_PART_1_OF_1_CHAL10_SB_342B1A18.jpg,reference,93-308,93;308,False,qwen,B 1,0,0,0.0,0,1.0,0,B 1,93 308
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-0308-01_PART_1_OF_1_CHAL10_SF_342B1A18.jpg,reference,93-308,93;308,True,qwen,93 308,1,1,1.0,1,0.0,1,93 308,93 308
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-0463-01_PART_1_OF_1_CHAL10_SB_5429AA3D.jpg,reference,93-463,9;3;463,False,qwen,463,0,1,0.3333333333333333,0,0.4,0,463,9 3 463
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-0463-01_PART_1_OF_1_CHAL10_SF_5429AA3D.jpg,reference,93-463,9;3;463,True,qwen,9 3,0,0,0.6666666666666666,0,0.6,0,9 3,9 3 463
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-0658-01_PART_1_OF_1_CHAL10_SB_2B2B15C8.jpg,reference,93-658,93;658,False,qwen,N,0,0,0.0,0,1.0,0,N,93 658
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-0658-01_PART_1_OF_1_CHAL10_SF_2B2B15C8.jpg,reference,93-658,93;658,True,qwen,93 658,1,1,1.0,1,0.0,1,93 658,93 658
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-0753-01_PART_1_OF_1_CHAL10_SB_A526D2E6.jpg,reference,93-753,753;TEVA,False,qwen,753,0,1,0.5,0,0.5714285714285714,0,753,753 TEVA
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-0753-01_PART_1_OF_1_CHAL10_SF_A526D2E6.jpg,reference,93-753,753;TEVA,True,qwen,TEVA,0,1,0.5,0,0.42857142857142855,0,TEVA,753 TEVA
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-0787-01_PART_1_OF_1_CHAL10_SB_AE26D766.jpg,reference,93-787,787;TEVA,False,qwen,787,0,1,0.5,0,0.5714285714285714,0,787,787 TEVA
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-0787-01_PART_1_OF_1_CHAL10_SF_AE26D766.jpg,reference,93-787,787;TEVA,True,qwen,TEVA,0,1,0.5,0,0.42857142857142855,0,TEVA,787 TEVA
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-0810-01_PART_1_OF_1_CHAL10_SB_24231228.jpg,reference,93-810,TEVA;10mg;0810,False,qwen,B 1,0,0,0.0,0,0.9166666666666666,0,B 1,TEVA 10MG 0810
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-0810-01_PART_1_OF_1_CHAL10_SB_34271A58.jpg,reference,93-810,TEVA;10mg;0810,False,qwen,B 1,0,0,0.0,0,0.9166666666666666,0,B 1,TEVA 10MG 0810
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-0810-01_PART_1_OF_1_CHAL10_SF_24231228.jpg,reference,93-810,TEVA;10mg;0810,True,qwen,10 MG 93 6810,0,0,0.0,0,0.5833333333333334,0,10 MG 93 6810,TEVA 10MG 0810
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-0810-01_PART_1_OF_1_CHAL10_SF_34271A58.jpg,reference,93-810,TEVA;10mg;0810,True,qwen,TEVA 10MG 0810,1,1,1.0,1,0.0,1,TEVA 10MG 0810,TEVA 10MG 0810
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-1061-01_PART_1_OF_1_CHAL10_SB_9329C9EE.jpg,reference,93-1061,93;61,False,qwen,N,0,0,0.0,0,1.0,0,N,93 61
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-1061-01_PART_1_OF_1_CHAL10_SF_9329C9EE.jpg,reference,93-1061,93;61,True,qwen,93 61,1,1,1.0,1,0.0,1,93 61,93 61
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-1172-01_PART_1_OF_1_CHAL10_SB_CC2DE65F.jpg,reference,93-1172,93;1172,False,qwen,1172,0,1,0.5,0,0.3333333333333333,0,1172,93 1172
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-1172-01_PART_1_OF_1_CHAL10_SF_CC2DE65F.jpg,reference,93-1172,93;1172,True,qwen,93,0,1,0.5,0,0.6666666666666666,0,93,93 1172
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-1177-01_PART_1_OF_1_CHAL10_SB_4F2B27C9.jpg,reference,93-1177,93;1177,False,qwen,1177,0,1,0.5,0,0.3333333333333333,0,1177,93 1177
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-1177-01_PART_1_OF_1_CHAL10_SF_4F2B27C9.jpg,reference,93-1177,93;1177,True,qwen,93,0,1,0.5,0,0.6666666666666666,0,93,93 1177
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-2046-56_PART_1_OF_1_CHAL10_SB_EE29773B.jpg,reference,93-2046,ACTOS;45,False,qwen,45,0,1,0.5,0,0.7142857142857143,0,45,ACTOS 45
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-2046-56_PART_1_OF_1_CHAL10_SF_EE29773B.jpg,reference,93-2046,ACTOS;45,True,qwen,ACTOS,0,1,0.5,0,0.2857142857142857,0,ACTOS,ACTOS 45
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-2264-01_PART_1_OF_1_CHAL10_SB_DE296F5B.jpg,reference,93-2264,93;2264,False,qwen,N,0,0,0.0,0,1.0,0,N,93 2264
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-2264-01_PART_1_OF_1_CHAL10_SF_DE296F5B.jpg,reference,93-2264,93;2264,True,qwen,93 2264,1,1,1.0,1,0.0,1,93 2264,93 2264
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-2268-01_PART_1_OF_1_CHAL10_SB_D5296ADB.jpg,reference,93-2268,9;3;2268,False,qwen,2268,0,1,0.3333333333333333,0,0.3333333333333333,0,2268,9 3 2268
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-2268-01_PART_1_OF_1_CHAL10_SF_D5296ADB.jpg,reference,93-2268,9;3;2268,True,qwen,9 3,0,0,0.6666666666666666,0,0.6666666666666666,0,9 3,9 3 2268
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-2929-01_PART_1_OF_1_CHAL10_SB_E52972BB.jpg,reference,93-2929,2929;93,False,qwen,G342,0,0,0.0,0,1.0,0,G342,2929 93
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-2929-01_PART_1_OF_1_CHAL10_SF_E52972BB.jpg,reference,93-2929,2929;93,True,qwen,93 2929,0,0,1.0,1,0.6666666666666666,0,93 2929,2929 93
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-3010-84_PART_1_OF_1_CHAL10_SB_F72CFBF7.jpg,reference,93-3010,A08,False,qwen,B 1,0,0,0.0,0,1.0,0,B 1,A08
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-3010-84_PART_1_OF_1_CHAL10_SF_F72CFBF7.jpg,reference,93-3010,A08,True,qwen,A08,1,1,1.0,1,0.0,1,A08,A08
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-3147-01_PART_1_OF_1_CHAL10_SB_24231258.jpg,reference,93-3147,TEVA;3147,False,qwen,G342,0,0,0.0,0,0.75,0,G342,TEVA 3147
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-3147-01_PART_1_OF_1_CHAL10_SB_C51962CB.jpg,reference,93-3147,TEVA;3147,False,qwen,B 1,0,0,0.0,0,0.875,0,B 1,TEVA 3147
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-3147-01_PART_1_OF_1_CHAL10_SF_24231258.jpg,reference,93-3147,TEVA;3147,True,qwen,93 3147 93 3147,0,0,0.5,0,1.0,0,93 3147 93 3147,TEVA 3147
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-3147-01_PART_1_OF_1_CHAL10_SF_C51962CB.jpg,reference,93-3147,TEVA;3147,True,qwen,TEVA 3147,1,1,1.0,1,0.0,1,TEVA 3147,TEVA 3147
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-4059-53_PART_1_OF_1_CHAL10_SB_FD2D7EDB.jpg,reference,93-4059,9;3;4059,False,qwen,4059,0,1,0.3333333333333333,0,0.3333333333333333,0,4059,9 3 4059
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-4059-53_PART_1_OF_1_CHAL10_SF_FD2D7EDB.jpg,reference,93-4059,9;3;4059,True,qwen,9 3,0,0,0.6666666666666666,0,0.6666666666666666,0,9 3,9 3 4059
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-4741-01_PART_1_OF_1_CHAL10_SB_F42D7A5B.jpg,reference,93-4741,4741;9;3,False,qwen,4741,0,1,0.3333333333333333,0,0.3333333333333333,0,4741,4741 9 3
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-4741-01_PART_1_OF_1_CHAL10_SF_F42D7A5B.jpg,reference,93-4741,4741;9;3,True,qwen,9 3,0,0,0.6666666666666666,0,0.6666666666666666,0,9 3,4741 9 3
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-4742-01_PART_1_OF_1_CHAL10_SB_E62D736B.jpg,reference,93-4742,4742;9;3,False,qwen,4742,0,1,0.3333333333333333,0,0.3333333333333333,0,4742,4742 9 3
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-4742-01_PART_1_OF_1_CHAL10_SF_E62D736B.jpg,reference,93-4742,4742;9;3,True,qwen,9 3,0,0,0.6666666666666666,0,0.6666666666666666,0,9 3,4742 9 3
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-5050-06_PART_1_OF_1_CHAL10_SB_992D4C9A.jpg,reference,93-5050,4833M;15;850,False,qwen,15 850,0,0,0.6666666666666666,0,0.5,0,15 850,4833M 15 850
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-5050-06_PART_1_OF_1_CHAL10_SF_992D4C9A.jpg,reference,93-5050,4833M;15;850,True,qwen,4833M,0,1,0.3333333333333333,0,0.5,0,4833M,4833M 15 850
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-5171-20_PART_1_OF_1_CHAL10_SB_4C2DA60D.jpg,reference,93-5171,93;5171,False,qwen,5171,0,1,0.5,0,0.3333333333333333,0,5171,93 5171
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-5171-20_PART_1_OF_1_CHAL10_SF_4C2DA60D.jpg,reference,93-5171,93;5171,True,qwen,93,0,1,0.5,0,0.6666666666666666,0,93,93 5171
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-5256-68_PART_1_OF_1_CHAL10_SB_15268A84.jpg,reference,93-5256,TEVA;5256,False,qwen,N,0,0,0.0,0,1.0,0,N,TEVA 5256
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-5256-68_PART_1_OF_1_CHAL10_SB_8727C3AE.jpg,reference,93-5256,TEVA;5256,False,qwen,N,0,0,0.0,0,1.0,0,N,TEVA 5256
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-5256-68_PART_1_OF_1_CHAL10_SF_15268A84.jpg,reference,93-5256,TEVA;5256,True,qwen,93 5256 93 5256,0,0,0.5,0,1.0,0,93 5256 93 5256,TEVA 5256
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-5256-68_PART_1_OF_1_CHAL10_SF_8727C3AE.jpg,reference,93-5256,TEVA;5256,True,qwen,TEVA 5256,1,1,1.0,1,0.0,1,TEVA 5256,TEVA 5256
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-5504-56_PART_1_OF_1_CHAL10_SB_292714E8.jpg,reference,93-5504,TEVA;5504,False,qwen,B 1,0,0,0.0,0,1.0,0,B 1,TEVA 5504
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-5504-56_PART_1_OF_1_CHAL10_SF_292714E8.jpg,reference,93-5504,TEVA;5504,True,qwen,TEVA 5504,1,1,1.0,1,0.0,1,TEVA 5504,TEVA 5504
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-5710-01_PART_1_OF_1_CHAL10_SB_3F2B9FCC.jpg,reference,93-5710,5710;1;25;250,False,qwen,1 25 250,0,0,0.75,0,0.4,0,1 25 250,5710 1 25 250
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-5710-01_PART_1_OF_1_CHAL10_SF_3F2B9FCC.jpg,reference,93-5710,5710;1;25;250,True,qwen,5710,0,1,0.25,0,0.6,0,5710,5710 1 25 250
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-5852-01_PART_1_OF_1_CHAL10_SB_512BA8FD.jpg,reference,93-5852,5852;20,False,qwen,852,0,0,0.0,0,0.5,0,852,5852 20
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-5852-01_PART_1_OF_1_CHAL10_SF_512BA8FD.jpg,reference,93-5852,5852;20,True,qwen,20,0,1,0.5,0,0.6666666666666666,0,20,5852 20
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-7212-01_PART_1_OF_1_CHAL10_SB_9F23CF8E.jpg,reference,93-7212,93;7212,False,qwen,7212,0,1,0.5,0,0.3333333333333333,0,7212,93 7212
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-7212-01_PART_1_OF_1_CHAL10_SB_C92FE4DF.jpg,reference,93-7212,93;7212,False,qwen,1212,0,0,0.0,0,0.5,0,1212,93 7212
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-7212-01_PART_1_OF_1_CHAL10_SF_9F23CF8E.jpg,reference,93-7212,93;7212,True,qwen,9 3,0,0,0.0,0,0.6666666666666666,0,9 3,93 7212
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-7212-01_PART_1_OF_1_CHAL10_SF_C92FE4DF.jpg,reference,93-7212,93;7212,True,qwen,935,0,0,0.0,0,0.6666666666666666,0,935,93 7212
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-7220-06_PART_1_OF_1_CHAL10_SB_692934D9.jpg,reference,93-7220,93;7220,False,qwen,7220,0,1,0.5,0,0.3333333333333333,0,7220,93 7220
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-7220-06_PART_1_OF_1_CHAL10_SF_692934D9.jpg,reference,93-7220,93;7220,True,qwen,93,0,1,0.5,0,0.6666666666666666,0,93,93 7220
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-7242-06_PART_1_OF_1_CHAL10_SB_76293B69.jpg,reference,93-7242,93;7242,False,qwen,7242,0,1,0.5,0,0.3333333333333333,0,7242,93 7242
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-7242-06_PART_1_OF_1_CHAL10_SF_76293B69.jpg,reference,93-7242,93;7242,True,qwen,93,0,1,0.5,0,0.6666666666666666,0,93,93 7242
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-7247-06_PART_1_OF_1_CHAL10_SB_7329B9CD.jpg,reference,93-7247,9;3;7247,False,qwen,7247,0,1,0.3333333333333333,0,0.3333333333333333,0,7247,9 3 7247
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-7247-06_PART_1_OF_1_CHAL10_SF_7329B9CD.jpg,reference,93-7247,9;3;7247,True,qwen,9 3,0,0,0.6666666666666666,0,0.6666666666666666,0,9 3,9 3 7247
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-7305-65_PART_1_OF_1_CHAL10_SB_7C2F3E59.jpg,reference,93-7305,93;7305,False,qwen,7305,0,1,0.5,0,0.3333333333333333,0,7305,93 7305
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-7305-65_PART_1_OF_1_CHAL10_SF_7C2F3E59.jpg,reference,93-7305,93;7305,True,qwen,93,0,1,0.5,0,0.6666666666666666,0,93,93 7305
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-7365-56_PART_1_OF_1_CHAL10_SB_AA305552.jpg,reference,93-7365,9;3;7365,False,qwen,7365,0,1,0.3333333333333333,0,0.3333333333333333,0,7365,9 3 7365
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-7365-56_PART_1_OF_1_CHAL10_SF_AA305552.jpg,reference,93-7365,9;3;7365,True,qwen,9 3,0,0,0.6666666666666666,0,0.6666666666666666,0,9 3,9 3 7365
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-7370-01_PART_1_OF_1_CHAL10_SB_C419623B.jpg,reference,93-7370,TEVA;7370,False,qwen,G342,0,0,0.0,0,0.875,0,G342,TEVA 7370
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-7370-01_PART_1_OF_1_CHAL10_SB_F026F807.jpg,reference,93-7370,TEVA;7370,False,qwen,N,0,0,0.0,0,1.0,0,N,TEVA 7370
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-7370-01_PART_1_OF_1_CHAL10_SF_C419623B.jpg,reference,93-7370,TEVA;7370,True,qwen,93 7370 93 7370,0,0,0.5,0,1.0,0,93 7370 93 7370,TEVA 7370
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-7370-01_PART_1_OF_1_CHAL10_SF_F026F807.jpg,reference,93-7370,TEVA;7370,True,qwen,TEVA 7370,1,1,1.0,1,0.0,1,TEVA 7370,TEVA 7370
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-7380-01_PART_1_OF_1_CHAL10_SB_A0265062.jpg,reference,93-7380,9;3;7380,False,qwen,7380,0,1,0.3333333333333333,0,0.3333333333333333,0,7380,9 3 7380
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-7380-01_PART_1_OF_1_CHAL10_SB_B12958DA.jpg,reference,93-7380,9;3;7380,False,qwen,7380,0,1,0.3333333333333333,0,0.3333333333333333,0,7380,9 3 7380
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-7380-01_PART_1_OF_1_CHAL10_SF_A0265062.jpg,reference,93-7380,9;3;7380,True,qwen,9 3,0,0,0.6666666666666666,0,0.6666666666666666,0,9 3,9 3 7380
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-7380-01_PART_1_OF_1_CHAL10_SF_B12958DA.jpg,reference,93-7380,9;3;7380,True,qwen,9 3,0,0,0.6666666666666666,0,0.6666666666666666,0,9 3,9 3 7380
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-7426-56_PART_1_OF_1_CHAL10_SB_DC27EE6F.jpg,reference,93-7426,TV;7426,False,qwen,7426,0,1,0.5,0,0.3333333333333333,0,7426,TV 7426
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-7426-56_PART_1_OF_1_CHAL10_SF_DC27EE6F.jpg,reference,93-7426,TV;7426,True,qwen,TV,0,1,0.5,0,0.6666666666666666,0,TV,TV 7426
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-7443-56_PART_1_OF_1_CHAL10_SB_052702B8.jpg,reference,93-7443,TEVA;7443,False,qwen,B 100,0,0,0.0,0,1.0,0,B 100,TEVA 7443
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-7443-56_PART_1_OF_1_CHAL10_SF_052702B8.jpg,reference,93-7443,TEVA;7443,True,qwen,TEVA 7443,1,1,1.0,1,0.0,1,TEVA 7443,TEVA 7443
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-8035-01_PART_1_OF_1_CHAL10_SB_DC266E63.jpg,reference,93-8035,3;035;N,False,qwen,3035,0,0,0.0,0,0.2,0,3035,3 035 N
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-8035-01_PART_1_OF_1_CHAL10_SF_DC266E63.jpg,reference,93-8035,3;035;N,True,qwen,N,0,1,0.3333333333333333,0,0.8,0,N,3 035 N
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-8036-01_PART_1_OF_1_CHAL10_SB_C2266173.jpg,reference,93-8036,6;036;N,False,qwen,G 036,0,0,0.3333333333333333,0,0.4,0,G 036,6 036 N
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-8036-01_PART_1_OF_1_CHAL10_SF_C2266173.jpg,reference,93-8036,6;036;N,True,qwen,N,0,1,0.3333333333333333,0,0.8,0,N,6 036 N
