full_path,domain,label_prod_code,splimprint,is_front
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/59762-4440_0_0.jpg,reference,59762-4440,MEDROL;4,True
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/59762-4440_0_1.jpg,reference,59762-4440,MEDROL;4,False
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/61786-235_0_0.jpg,reference,61786-235,184,True
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/61786-235_0_1.jpg,reference,61786-235,184,False
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/61786-549_0_0.jpg,reference,61786-549,M;3,True
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/61786-549_0_1.jpg,reference,61786-549,M;3,False
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/63187-402_0_0.jpg,reference,63187-402,TV;1003;5;5;5,True
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/63187-402_0_1.jpg,reference,63187-402,TV;1003;5;5;5,False
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/65597-114_0_0.jpg,reference,65597-114,C51,True
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/65597-114_0_1.jpg,reference,65597-114,C51,False
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/66116-518_0_0.jpg,reference,66116-518,4357;150,True
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/66116-518_0_1.jpg,reference,66116-518,4357;150,False
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/66336-028_0_0.jpg,reference,66336-28,I36,True
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/66336-028_0_1.jpg,reference,66336-28,I36,False
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/68151-4488_0_0.jpg,reference,68151-4488,LILLY;3239;60;mg,True
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/68151-4488_0_1.jpg,reference,68151-4488,LILLY;3239;60;mg,False
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/69189-0201_0_0.jpg,reference,69189-201,E;45,True
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/69189-0201_0_1.jpg,reference,69189-201,E;45,False
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/69189-0413_0_0.jpg,reference,69189-413,256,True
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/69189-0413_0_1.jpg,reference,69189-413,256,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/1040.jpg,consumer,781-1452,GG771,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/1054.jpg,consumer,67253-902,S902,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/1086.jpg,consumer,832-1025,832;BC20,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/109.jpg,consumer,63010-27,V;625,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/1197.jpg,consumer,49884-401,P;401,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/1257.jpg,consumer,51285-87,b;556,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/1320.jpg,consumer,378-1807,M;L;7,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/1345.jpg,consumer,74-7070,SYNTHROID;175,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/1350.jpg,consumer,65862-12,A;1;7,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/1351.jpg,consumer,172-4357,4357;150,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/1443.jpg,consumer,63010-27,V;625,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/1455.jpg,consumer,53489-648,Mutual;866,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/1463.jpg,consumer,555-9012,b;942,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/1498.jpg,consumer,93-2929,2929;93,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/1522.jpg,consumer,49884-922,P02,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/1528.jpg,consumer,63010-27,V;625,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/1530.jpg,consumer,93-4068,TEVA;4068,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/1535.jpg,consumer,51285-87,b;556,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/1561.jpg,consumer,93-1062,93;62,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/1586.jpg,consumer,65597-701,Sankyo;C01,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/1624.jpg,consumer,93-4068,TEVA;4068,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/1640.jpg,consumer,59762-5011,G;5011,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/1655.jpg,consumer,65862-12,A;1;7,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/1666.jpg,consumer,93-2929,2929;93,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/1721.jpg,consumer,93-1062,93;62,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/1727.jpg,consumer,93-149,TEVA;149,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/1728.jpg,consumer,456-457,A;TC,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/1742.jpg,consumer,51285-87,b;556,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/1786.jpg,consumer,93-926,926;TEVA,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/1795.jpg,consumer,78-359,NVR;DX,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/1801.jpg,consumer,93-1016,93;16,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/1819.jpg,consumer,93-11,93;11,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/1841.jpg,consumer,93-4068,TEVA;4068,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/1850.jpg,consumer,50111-433,PLIVA;433,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/1851.jpg,consumer,555-1022,barr;24;mg;1022,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/1932.jpg,consumer,65862-12,A;1;7,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/1974.jpg,consumer,50111-468,PLIVA;468,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/1995.jpg,consumer,93-7350,93;7350;93;7350,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/20.jpg,consumer,93-154,93;154,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/2004.jpg,consumer,93-7219,93;7219,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/2053.jpg,consumer,555-9012,b;942,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/2055.jpg,consumer,93-5140,93;5140,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/2081.jpg,consumer,65862-12,A;1;7,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/2096.jpg,consumer,781-1452,GG771,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/2105.jpg,consumer,832-1025,832;BC20,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/2118.jpg,consumer,93-3002,93;3002;93;3002,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/2133.jpg,consumer,93-11,93;11,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/2159.jpg,consumer,78-359,NVR;DX,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/2164.jpg,consumer,93-11,93;11,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/2166.jpg,consumer,93-2929,2929;93,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/2167.jpg,consumer,51285-595,OP;701,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/2190.jpg,consumer,65597-701,Sankyo;C01,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/2204.jpg,consumer,555-9012,b;942,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/222.jpg,consumer,172-4366,4366;TEVA,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/2224.jpg,consumer,93-5712,5712;5;500,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/2252.jpg,consumer,93-1062,93;62,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/2260.jpg,consumer,50111-468,PLIVA;468,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/2286.jpg,consumer,93-1016,93;16,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/2320.jpg,consumer,49884-401,P;401,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/2325.jpg,consumer,59762-5011,G;5011,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/2355.jpg,consumer,456-1550,FL;50,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/2373.jpg,consumer,93-7238,TEVA;7238,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/2376.jpg,consumer,555-9012,b;942,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/2378.jpg,consumer,172-4357,4357;150,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/2398.jpg,consumer,456-1550,FL;50,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/240.jpg,consumer,93-149,TEVA;149,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/2403.jpg,consumer,781-1452,GG771,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/247.jpg,consumer,93-1062,93;62,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/2477.jpg,consumer,555-139,b8;139,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/2521.jpg,consumer,51285-595,OP;701,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/2533.jpg,consumer,93-149,TEVA;149,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/2553.jpg,consumer,555-1022,barr;24;mg;1022,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/2560.jpg,consumer,93-4068,TEVA;4068,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/2586.jpg,consumer,50111-468,PLIVA;468,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/259.jpg,consumer,93-39,9;3;39,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/2594.jpg,consumer,50111-468,PLIVA;468,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/261.jpg,consumer,93-7236,93;7236,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/2643.jpg,consumer,172-4366,4366;TEVA,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/2650.jpg,consumer,49884-401,P;401,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/2685.jpg,consumer,93-149,TEVA;149,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/2710.jpg,consumer,93-39,9;3;39,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/2726.jpg,consumer,93-1016,93;16,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/278.jpg,consumer,378-1110,MYLAN;G2,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/2783.jpg,consumer,50111-433,PLIVA;433,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/2797.jpg,consumer,555-139,b8;139,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/28.jpg,consumer,74-6122,FI,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/280.jpg,consumer,51285-595,OP;701,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/2857.jpg,consumer,555-9027,b;978,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/2938.jpg,consumer,93-926,926;TEVA,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/2974.jpg,consumer,555-1022,barr;24;mg;1022,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/2986.jpg,consumer,59762-5011,G;5011,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/2997.jpg,consumer,50111-433,PLIVA;433,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/3052.jpg,consumer,51285-87,b;556,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/3080.jpg,consumer,65597-701,Sankyo;C01,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/3089.jpg,consumer,93-7236,93;7236,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/312.jpg,consumer,93-2929,2929;93,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/3128.jpg,consumer,93-7219,93;7219,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/3137.jpg,consumer,59762-5011,G;5011,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/3142.jpg,consumer,555-9027,b;978,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/3162.jpg,consumer,555-9028,b;247,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/3205.jpg,consumer,555-9028,b;247,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/3211.jpg,consumer,93-5140,93;5140,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/3215.jpg,consumer,93-1016,93;16,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/327.jpg,consumer,93-320,93;320,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/3296.jpg,consumer,50111-307,PA;307,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/3298.jpg,consumer,50111-433,PLIVA;433,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/3347.jpg,consumer,93-926,926;TEVA,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/3372.jpg,consumer,781-1452,GG771,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/339.jpg,consumer,93-3002,93;3002;93;3002,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/3399.jpg,consumer,93-39,9;3;39,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/3402.jpg,consumer,93-154,93;154,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/3444.jpg,consumer,93-7236,93;7236,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dc_224/346.jpg,consumer,172-4357,4357;150,True
